gene,disease
SRY,"Pure Gonadal Dysgenesis 46,Xy"
STAC3,Rare Disease With Malignant Hyperthermia
STAR,Disorder Of Endocrine System
STAR,Congenital Adrenal Hyperplasia
STAT3,Autoimmune Thrombocytopenia
STAT4,Systemic Lupus Erythematosus
STEAP3,Microcytic Anemia
STEAP3,"Anemia, Hypochromic Microcytic With Iron Overload"
STEAP3,Hypochromic Microcytic Anemia
STIL,Autosomal Recessive Primary Microcephaly
STK11,Familial Melanoma
STK11,Breast Neoplasm
STK11,Carcinoma Of Pancreas
STK11,Malignant Tumor Of Testis
STK11,Melanoma
STK11,Familial Cancer Of Breast
STK11,Neoplasm Of The Genitourinary Tract
STK11,Malignant Tumor Of Breast
STK11,Familial Atypical Multiple Mole Melanoma Syndrome
STK11,Malignant Melanoma Of Skin
STN1,Coats Plus Syndrome
STRC,Nonsyndromic Genetic Hearing Loss
STRC,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
STX11,Familial Hemophagocytic Lymphohistiocytosis
STX16,Pseudohypoparathyroidism
STXBP2,Familial Hemophagocytic Lymphohistiocytosis
SUCLA2,Mitochondrial Disease
SUCLA2,"Mitochondrial Dna Depletion Syndrome, Encephalomyopathic Form"
SUCLA2,Hereditary Hearing Loss And Deafness
SUCLA2,Mitochondrial Dna Deletion Syndromes
SUCLG1,Mitochondrial Dna Deletion Syndromes
SUCLG1,Hereditary Hearing Loss And Deafness
SUCLG1,"Mitochondrial Dna Depletion Syndrome, Encephalomyopathic Form"
SUCLG1,Mitochondrial Disease
SUFU,Glioma
SUMO1,Orofacial Cleft
SURF1,Mitochondrial Disease
SURF1,Hereditary Hearing Loss And Deafness
SURF1,Leigh Syndrome
SYNE1,Emery-Dreifuss Muscular Dystrophy
SYNE1,Autosomal Dominant Emery-Dreifuss Muscular Dystrophy
SYNE2,Autosomal Dominant Emery-Dreifuss Muscular Dystrophy
SYNE2,Emery-Dreifuss Muscular Dystrophy
TACO1,Hereditary Hearing Loss And Deafness
TACO1,Mitochondrial Disease
TAFAZZIN,3-Methylglutaconic Aciduria
TAFAZZIN,Cardiomyopathy
TAFAZZIN,Primary Familial Dilated Cardiomyopathy
TAP1,Mhc Class I Deficiency
TAP2,Mhc Class I Deficiency
TAPBP,Mhc Class I Deficiency
TARDBP,Amyotrophic Lateral Sclerosis
TARS2,Combined Oxidative Phosphorylation Deficiency
TBC1D20,Warburg Micro Syndrome
TBC1D23,Pontoneocerebellar Hypoplasia
TBCE,Neurodegeneration With Brain Iron Accumulation
TBL1Y,"Nonsyndromic Deafness, Y-Linked"
TBP,Parkinson Disease
TBR1,Autism Spectrum Disorder
TBX20,Atrial Septal Defect
TBX22,Cleft Palate
TBX5,Heart-Hand Syndrome
TBX6,Spondylocostal Dysostosis
TBXT,Neural Tube Defect
TCAP,Primary Familial Dilated Cardiomyopathy
TCAP,Limb-Girdle Muscular Dystrophy
TCAP,Cardiomyopathy
TCAP,Autosomal Recessive Limb-Girdle Muscular Dystrophy
TCF12,Craniosynostosis Syndrome
TCHH,Uncombable Hair Syndrome
TCOF1,Mandibulofacial Dysostosis
TCOF1,Treacher Collins Syndrome
TCTN1,Joubert Syndrome
TCTN2,Meckel-Gruber Syndrome
TDP1,"Spinocerebellar Ataxia, Autosomal Recessive, With Axonal Neuropathy"
TECTA,Nonsyndromic Genetic Hearing Loss
TECTA,Autosomal Dominant Nonsyndromic Hearing Loss
TECTA,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
TENT5A,Osteogenesis Imperfecta
TERC,Diffuse Interstitial Pulmonary Fibrosis
TERC,Dyskeratosis Congenita
TERT,Dyskeratosis Congenita
TERT,Melanoma
TERT,Familial Melanoma
TERT,Diffuse Interstitial Pulmonary Fibrosis
TERT,Malignant Melanoma Of Skin
TFAM,Mitochondrial Dna Deletion Syndromes
TFAM,Hereditary Hearing Loss And Deafness
TFAM,Mitochondrial Disease
TFR2,Hereditary Hemochromatosis
TGFB1,Ashkenazi Jewish Disorders
TGFB2,Diaphyseal Dysplasia
TGFB2,Loeys-Dietz Syndrome
TGFB3,Cardiomyopathy
TGFB3,Arrhythmogenic Right Ventricular Cardiomyopathy
TGFBR1,Familial Aortopathy
TGFBR1,Loeys-Dietz Syndrome
TGFBR2,Loeys-Dietz Syndrome
TGM1,Congenital Ichthyosis Of Skin
TGM3,Uncombable Hair Syndrome
TGM5,Peeling Skin Syndrome
TH,Dopa-Responsive Dystonia
THBD,Atypical Hemolytic-Uremic Syndrome
THBD,Hemolytic-Uremic Syndrome
THPO,Essential Thrombocythemia
THPO,Congenital Amegakaryocytic Thrombocytopenia
TIMM50,3-Methylglutaconic Aciduria
TIMM8A,Hereditary Hearing Loss And Deafness
TINF2,Dyskeratosis Congenita
TJP2,"Hypercholanemia, Familial"
TLE6,Inherited Oocyte Maturation Defect
TLL1,Atrial Septal Defect
TLR2,Neoplasm Of The Large Intestine
TLR5,Legionnaires' Disease
TLR5,Legionella Infection
TLR5,Systemic Lupus Erythematosus
TMC1,Autosomal Dominant Nonsyndromic Hearing Loss
TMC1,Nonsyndromic Genetic Hearing Loss
TMC1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
TMEM216,Meckel-Gruber Syndrome
TMEM216,Joubert Syndrome
TMEM38B,Osteogenesis Imperfecta
TMEM43,Emery-Dreifuss Muscular Dystrophy
TMEM43,Cardiomyopathy
TMEM43,Autosomal Dominant Emery-Dreifuss Muscular Dystrophy
TMEM67,Bardet-Biedl Syndrome
TMEM67,Joubert Syndrome
TMEM67,Meckel-Gruber Syndrome
TMEM67,Coach Syndrome
TMEM70,Complex V Deficiency
TMEM70,Mitochondrial Disease
TMEM70,Hereditary Hearing Loss And Deafness
TMIE,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
TMIE,Nonsyndromic Genetic Hearing Loss
TMPO,Cardiomyopathy
TMPO,Primary Familial Dilated Cardiomyopathy
TMPRSS3,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
TMPRSS3,Nonsyndromic Genetic Hearing Loss
TMPRSS6,Microcytic Anemia
TNF,"Migraine With Or Without Aura, Susceptibility To"
TNF,Migraine
TNFAIP3,"Autoinflammatory Syndrome, Familial, Behcet-Like"
TNFRSF13B,Common Variable Immunodeficiency
TNFRSF13C,Common Variable Immunodeficiency
TNNC1,Primary Familial Dilated Cardiomyopathy
TNNC1,Primary Dilated Cardiomyopathy
TNNC1,Cardiomyopathy
TNNI2,Distal Arthrogryposis
TNNI2,Sheldon-Hall Syndrome
TNNI3,Cardiomyopathy
TNNI3,Primary Dilated Cardiomyopathy
TNNI3,Primary Familial Dilated Cardiomyopathy
TNNI3,Familial Restrictive Cardiomyopathy
TNNI3K,Cardiac Conduction Disease With Or Without Cardiomyoopathy
TNNT1,Nemaline Myopathy
TNNT2,Cardiomyopathy
TNNT2,Familial Restrictive Cardiomyopathy
TNNT2,Primary Familial Dilated Cardiomyopathy
TNNT3,Distal Arthrogryposis
TNNT3,Sheldon-Hall Syndrome
TNPO3,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
TNPO3,Limb-Girdle Muscular Dystrophy
TNXB,Familial Vesicoureteral Reflux
TNXB,Vesicoureteral Reflux
TOPORS,Retinitis Pigmentosa
TP53,Li-Fraumeni Syndrome
TP53,Malignant Tumor Of Breast
TP53,Glioma
TP53,Carcinoma Of Pancreas
TP53,Breast Neoplasm
TP53,Neoplasm Of The Large Intestine
TP53RK,Galloway-Mowat Syndrome
TP63,Orofacial Cleft
TP63,Cleft Palate
TPM1,Primary Familial Dilated Cardiomyopathy
TPM1,Cardiomyopathy
TPM2,Nemaline Myopathy
TPM2,Distal Arthrogryposis
TPM2,"Digitotalar Dysmorphism; Ulnar Drift, Hereditary"
TPM3,Nemaline Myopathy
TPMT,Thiopurine Response
TPO,Congenital Hypothyroidism
TPP1,Neuronal Ceroid Lipofuscinosis
TPP1,Juvenile Neuronal Ceroid Lipofuscinosis
TPRKB,Galloway-Mowat Syndrome
TPRN,Nonsyndromic Genetic Hearing Loss
TPRN,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
TPRN,Hereditary Hearing Loss And Deafness
TRAPPC11,Limb-Girdle Muscular Dystrophy
TRAPPC11,Autosomal Recessive Limb-Girdle Muscular Dystrophy
TREX1,Aicardi Goutieres Syndrome
TRIM32,Limb-Girdle Muscular Dystrophy
TRIM32,Bardet-Biedl Syndrome
TRIM32,Autosomal Recessive Limb-Girdle Muscular Dystrophy
TRIM44,Isolated Aniridia
TRIM44,Congenital Aniridia
TRIOBP,Nonsyndromic Genetic Hearing Loss
TRIOBP,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
TRIP11,Odontochondrodysplasia
TRIP13,Mosaic Variegated Aneuploidy Syndrome
TRIP13,Inherited Oocyte Maturation Defect
TRIT1,Combined Oxidative Phosphorylation Deficiency
TRMT10C,Combined Oxidative Phosphorylation Deficiency
TRMT5,Combined Oxidative Phosphorylation Deficiency
TRPC6,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
TRPC6,Focal Segmental Glomerulosclerosis
TRPC6,Inherited Focal Segmental Glomerulosclerosis
TRPC6,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
TRPM1,Congenital Stationary Night Blindness
TRPS1,Trichorhinophalangeal Syndrome Type 1 And 3
TRPS1,Trichorhinophalangeal Syndrome
TRPV4,Spondylometaphyseal Dysplasia
TRPV4,Avascular Necrosis Of The Head Of Femur
TRPV4,Charcot-Marie-Tooth Disease
TRPV4,Familial Avascular Necrosis Of The Femoral Head
TRPV4,Charcot-Marie-Tooth Disease Type 2
TRPV4,Type 2 Collagenopathy
TSEN15,Pontoneocerebellar Hypoplasia
TSEN15,Pontocerebellar Hypoplasia Type 2
TSEN2,Pontocerebellar Hypoplasia Type 2
TSEN2,Pontoneocerebellar Hypoplasia
TSEN34,Pontoneocerebellar Hypoplasia
TSEN34,Pontocerebellar Hypoplasia Type 2
TSEN54,Pontocerebellar Hypoplasia Type 2
TSEN54,Pontoneocerebellar Hypoplasia
TSFM,Combined Oxidative Phosphorylation Deficiency
TSHB,Congenital Hypothyroidism
TSHR,Congenital Hypothyroidism
TSR2,Diamond-Blackfan Anemia
TTC21B,Jeune Thoracic Dystrophy
TTC7A,Gastrointestinal Defect And Immunodeficiency Syndrome
TTC8,Retinitis Pigmentosa
TTC8,Bardet-Biedl Syndrome
TTN,Limb-Girdle Muscular Dystrophy
TTN,Cardiomyopathy
TTN,Primary Familial Dilated Cardiomyopathy
TTN,Primary Familial Hypertrophic Cardiomyopathy
TTN,Autosomal Recessive Limb-Girdle Muscular Dystrophy
TTR,Familial Amyloid Neuropathy
TTR,"Amyloidosis, Hereditary Systemic"
TTR,Carpal Tunnel Syndrome
TUBA1A,Lissencephaly
TUBA1A,Malformation Of Cortical Development
TUBB3,Congenital Fibrosis Of Extraocular Muscles
TUBB8,Inherited Oocyte Maturation Defect
TUBGCP4,Autosomal Recessive Chorioretinopathy-Microcephaly Syndrome
TUBGCP4,Microcephaly And Chorioretinopathy
TUBGCP6,Microcephaly And Chorioretinopathy
TUBGCP6,Autosomal Recessive Chorioretinopathy-Microcephaly Syndrome
TUFM,Combined Oxidative Phosphorylation Deficiency
TULP1,Retinitis Pigmentosa
TULP1,Leber Congenital Amaurosis
TWIST1,Craniosynostosis Syndrome
TWNK,Hereditary Hearing Loss And Deafness
TWNK,Mitochondrial Dna Deletion Syndromes
TWNK,Mitochondrial Disease
TWNK,Perrault Syndrome
TWNK,Mitochondrial Dna Depletion Syndrome 15 (Hepatocerebral Type)
TXN2,Combined Oxidative Phosphorylation Deficiency
TYR,Oculocutaneous Albinism
TYR,Oculocutaneous Albinism Type 1
TYRP1,Oculocutaneous Albinism
UCHL1,Parkinson Disease
UCP3,Obesity
UGT1A1,Crigler-Najjar Syndrome
UMOD,Familial Juvenile Gout
UNC13D,Familial Hemophagocytic Lymphohistiocytosis
USH1C,Usher Syndrome
USH1C,Usher Syndrome Type 1B
USH1C,Nonsyndromic Genetic Hearing Loss
USH1C,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
USH1G,Hereditary Hearing Loss And Deafness
USH1G,Usher Syndrome
USH1G,Usher Syndrome Type 1
USH2A,Retinitis Pigmentosa
USP7,Hao-Fountain Syndrome
USP8,Acth-Dependent Cushing Syndrome
USP8,Cushing Syndrome
VANGL1,Neural Tube Defect
VANGL2,Neural Tube Defect
VAPB,Amyotrophic Lateral Sclerosis
VARS2,Combined Oxidative Phosphorylation Deficiency
VCL,Cardiomyopathy
VCL,Primary Familial Hypertrophic Cardiomyopathy
VCL,Primary Familial Dilated Cardiomyopathy
VDR,"Vitamin D-Dependent Rickets, Type 2"
VEGFA,"Microvascular Complications Of Diabetes, Susceptibility"
VHL,Familial Erythrocytosis
VPS35,Parkinson Disease
VPS45,Severe Congenital Neutropenia
VPS4B,Dentin Dysplasia Type I
VPS53,Pontoneocerebellar Hypoplasia
VPS53,Pontocerebellar Hypoplasia Type 2
VRK1,Pontoneocerebellar Hypoplasia
VRK1,Congenital Pontocerebellar Hypoplasia Type 1
VSX2,Anophthalmia-Microphthalmia Syndrome
VWF,Hereditary Von Willebrand Disease
VWF,Von Willebrand Disorder
WAC,Desanto-Shinawi Syndrome
WARS2,"Parkinsonism-Dystonia, Infantile"
WAS,Severe Congenital Neutropenia
WDPCP,Bardet-Biedl Syndrome
WDR19,Jeune Thoracic Dystrophy
WDR19,Renal Dysplasia And Retinal Aplasia
WDR19,Cranioectodermal Dysplasia
WDR35,Cranioectodermal Dysplasia
WDR36,Glaucoma
WDR4,Galloway-Mowat Syndrome
WDR62,Autosomal Recessive Primary Microcephaly
WDR72,Amelogenesis Imperfecta
WDR72,Amelogenesis Imperfecta Type 2
WDR73,Galloway-Mowat Syndrome
WDR81,Congenital Hydrocephalus
WDR81,Hydrocephalus
WEE2,Inherited Oocyte Maturation Defect
WFS1,Wolfram Syndrome
WFS1,Autosomal Dominant Nonsyndromic Hearing Loss
WFS1,Nonsyndromic Genetic Hearing Loss
WHRN,Nonsyndromic Genetic Hearing Loss
WHRN,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
WNK1,Pseudohypoaldosteronism Type 2A
WNK4,Pseudohypoaldosteronism Type 2A
WNT1,Osteogenesis Imperfecta
WNT3,Tetraamelia-Multiple Malformations Syndrome
WRAP53,Dyskeratosis Congenita
WRAP53,Autosomal Recessive Dyskeratosis Congenita
WT1,Kidney Wilms Tumor
WT1,Isolated Aniridia
WT1,Hereditary Wilms Tumor
WT1,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
WT1,Nephroblastoma
WT1,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
XDH,Hereditary Xanthinuria
XPA,Xeroderma Pigmentosum
XPC,Xeroderma Pigmentosum
XRCC3,Familial Melanoma
XRCC3,Breast Neoplasm
XRCC3,Melanoma
XRCC3,Malignant Tumor Of Breast
XRCC3,Malignant Melanoma Of Skin
XYLT1,Pseudoxanthoma Elasticum
XYLT2,Pseudoxanthoma Elasticum
YARS1,"Neurologic, Endocrine, And Pancreatic Disease, Multisystem, Infantile-Onset"
YARS2,"Myopathy, Lactic Acidosis, And Sideroblastic Anemia"
YIPF5,"Microcephaly, Epilepsy, And Diabetes Syndrome"
YRDC,Galloway-Mowat Syndrome
ZBTB24,"Centromeric Instability Of Chromosomes 1,9 And 16 And Immunodeficiency"
ZEB1,Corneal Dystrophy
ZEB1,Posterior Polymorphous Corneal Dystrophy
ZEB1,Corneal Endothelial Dystrophy
ZFHX3,Neoplasm Of The Genitourinary Tract
ZFHX3,Prostate Cancer
ZFP57,Neonatal Diabetes Mellitus
ZFP57,Transitory Neonatal Diabetes Mellitus
ZFPM2,Diaphragmatic Hernia
ZFPM2,Congenital Diaphragmatic Hernia
ZMPSTE24,Lethal Tight Skin Contracture Syndrome
ZMYND10,Primary Ciliary Dyskinesia
ZNF335,Autosomal Recessive Primary Microcephaly
ZNF469,Brittle Cornea Syndrome
ZNF513,Retinitis Pigmentosa
ZP1,Inherited Oocyte Maturation Defect
ZP2,Inherited Oocyte Maturation Defect
ZP3,Inherited Oocyte Maturation Defect
